state,district,flood_date,flood_cause,river_basin,latitude,longitude,source
Perak,Hilir Perak,2026-05-16,"Air Laut Pasang, Air Sungai Melimpah",Sungai Perak (Sri Jaya Potteries Batu 7),4.018080,101.062485,JPS/DID
Kedah,Kota Setar,2026-05-16,"Air Laut Pasang, Longkang Tersumbat",Sungai Kedah (KDAHTP0010 - Jeti Feri Kuala Kedah); Sungai Kedah (Port Padang Garam),6.101370,100.366610,JPS/DID
Pulau Pinang,Barat Daya Pulau Pinang,2026-05-16,"Air Laut Pasang, Air Sungai Melimpah, Saliran Dalaman",,5.362050,100.245650,JPS/DID
Kedah,Yan,2026-05-16,Air Sungai Melimpah,Sungai Kedah (Kampung Singkir Laut),5.847800,100.370420,JPS/DID
Kedah,Kuala Muda,2026-05-16,Air Laut Pasang,Sungai Muda (Kg. Huma),5.715575,100.501505,JPS/DID
Kedah,Langkawi,2026-05-16,Air Laut Pasang,,6.315365,99.792935,JPS/DID
WP Labuan,Labuan,2026-05-16,Air Sungai Melimpah,,5.289335,115.225540,JPS/DID
Perak,Hilir Perak,2026-05-15,Air Sungai Melimpah,Sungai Perak (BDRTP0025 - Kg. Sg. Kerawai),4.018080,101.062485,JPS/DID
Perak,Kerian,2026-05-15,"Air Laut Pasang, Saliran Dalaman","Sungai Kurau (Kampung Teluk Pulai, Kampung Keramat)",4.988310,100.548990,JPS/DID
Sabah,Membakut,2026-05-14,Air Sungai Melimpah,Sungai Membakut (Kg. Sinoko); Sungai Membakut (Kg. Bambangan); Sungai Membakut (Kg. Baitam Laut); Sungai Membakut (Kg. Ulu Baitam); Sungai Membakut (Kg. Jambatan Baru); Sungai Membakut (Kg. Papas); Sungai Membakut (Kg. Kayai); Sungai Membakut (Kg. Lumantak); Sungai Membakut (Kg. Limpayau); Sungai Membakut (Kg. Lembah Poring); Sungai Membakut (Jalan Balai Polis),5.714110,117.300765,JPS/DID
Kedah,Kota Setar,2026-05-12,Saliran Dalaman,"Sungai Kedah (Lorong Pendekar); Sungai Kedah (Taman Alor Setar); Sungai Kedah (KDAHTP0012 - Jalan Telok Wanjah); Sungai Kedah (Persimpangan FT258 Jalan Langgar-K135 JalanDatuk K); Sungai Kedah (Lorong Seri); Sungai Kedah (PDGTP02106 - SMK Sultanah Asma); Sungai Kedah (Taman Putra Jaya, Jalan Tanjung Bendahara)",6.101370,100.366610,JPS/DID
Pulau Pinang,Seberang Perai Selatan,2026-05-10,"Air Sungai Melimpah, Saliran Dalaman",Sungai Jawi (JJGTP00022 - Kg. Sepulau),5.210425,100.468350,JPS/DID
Pulau Pinang,Seberang Perai Tengah,2026-05-10,"Air Sungai Melimpah, Saliran Dalaman",Sungai Jawi (JJGTP00056 - Kg. Tok Konan); Sungai Jawi (JJGTP00087 - Kg. Bukit Teh); Sungai Jawi (JJGTP00097 - Kg. Berangan Sembilan); Sungai Jawi (Kg. Tok Musa); Sungai Jawi (JJGTP00073 - Tasek Junjung),5.364500,100.449120,JPS/DID
Kedah,Kota Setar,2026-05-08,Air Sungai Melimpah,Sungai Kedah (Lorong Pendekar),6.101370,100.366610,JPS/DID
Kedah,Kulim,2026-05-08,Air Sungai Melimpah,Sungai Muda (PRAITP0055 - Kg. Padang Limau),5.403050,100.696095,JPS/DID
Kedah,Pokok Sena,2026-05-08,"Longkang Tersumbat, Saliran Dalaman",Sungai Kedah (Jalan Gurun-Kepala Batas FT175Sek142.5 (Berhampira),6.167260,100.540445,JPS/DID
